Time,pv_power
00:30:00,0.0
01:00:00,0.0
01:30:00,0.0
02:00:00,0.0
02:30:00,0.0
03:00:00,0.0
03:30:00,0.0
04:00:00,0.0
04:30:00,0.0
05:00:00,0.0
05:30:00,0.0
06:00:00,0.0
06:30:00,0.0
07:00:00,0.0
07:30:00,0.0
08:00:00,0.0
08:30:00,0.0
09:00:00,0.0
09:30:00,0.0
10:00:00,0.0
10:30:00,1.82
11:00:00,6.16
11:30:00,9.55
12:00:00,21.16
12:30:00,44.75
13:00:00,71.01
13:30:00,94.78
14:00:00,114.01
14:30:00,125.55
15:00:00,124.67
15:30:00,94.73
16:00:00,34.16
16:30:00,0.0
17:00:00,0.0
17:30:00,0.0
18:00:00,0.0
18:30:00,0.0
19:00:00,0.0
19:30:00,0.0
20:00:00,0.0
20:30:00,0.0
21:00:00,0.0
21:30:00,0.0
22:00:00,0.0
22:30:00,0.0
23:00:00,0.0
23:30:00,0.0
00:00:00,0.0
00:30:00,0.0
01:00:00,0.0
01:30:00,0.0
02:00:00,0.0
02:30:00,0.0
03:00:00,0.0
03:30:00,0.0
04:00:00,0.0
04:30:00,0.0
05:00:00,0.0
05:30:00,0.0
06:00:00,0.0
06:30:00,0.0
07:00:00,0.0
07:30:00,0.0
08:00:00,0.0
08:30:00,0.0
09:00:00,0.0
09:30:00,0.0
10:00:00,0.0
10:30:00,1.99
11:00:00,6.3
11:30:00,10.32
12:00:00,18.16
12:30:00,31.06
13:00:00,45.16
13:30:00,60.02
14:00:00,75.73
14:30:00,88.43
15:00:00,95.11
15:30:00,78.36
16:00:00,29.71
16:30:00,0.0
17:00:00,0.0
17:30:00,0.0
18:00:00,0.0
18:30:00,0.0
19:00:00,0.0
19:30:00,0.0
20:00:00,0.0
20:30:00,0.0
21:00:00,0.0
21:30:00,0.0
22:00:00,0.0
22:30:00,0.0
23:00:00,0.0
23:30:00,0.0
00:00:00,0.0
00:30:00,0.0
01:00:00,0.0
01:30:00,0.0
02:00:00,0.0
02:30:00,0.0
