# Timestep performance metrics.
# Results library: annual.res; (Results SemiDetached_2F)
# Output period: 00:15 on 01/01/26 to 23:45 on 31/12/26  (STS=30m, OTS=30m)
Time  flr0Output(-) flr1Output(-) atticOutput(-)
12h30       0.00       0.00      44.61
13h00       0.00       0.00      70.97
13h30       0.00       0.00      94.93
14h00       0.00       0.00     114.51
14h30       0.00       0.00     127.35
15h00       0.00       0.00     130.02
15h30       0.00       0.00     101.03
16h00       0.00       0.00      36.59
16h30       0.00       0.00       0.00
17h00       0.00       0.00       0.00
17h30       0.00       0.00       0.00
18h00       0.00       0.00       0.00
18h30       0.00       0.00       0.00
19h00       0.00       0.00       0.00
19h30       0.00       0.00       0.00
20h00       0.00       0.00       0.00
20h30       0.00       0.00       0.00
21h00       0.00       0.00       0.00
21h30       0.00       0.00       0.00
22h00       0.00       0.00       0.00
22h30       0.00       0.00       0.00
23h00       0.00       0.00       0.00
23h30       0.00       0.00       0.00
00h00       0.00       0.00       0.00
00h30       0.00       0.00       0.00
01h00       0.00       0.00       0.00
01h30       0.00       0.00       0.00
02h00       0.00       0.00       0.00
02h30       0.00       0.00       0.00
03h00       0.00       0.00       0.00
03h30       0.00       0.00       0.00
04h00       0.00       0.00       0.00
04h30       0.00       0.00       0.00
05h00       0.00       0.00       0.00
05h30       0.00       0.00       0.00
06h00       0.00       0.00       0.00
06h30       0.00       0.00       0.00
07h00       0.00       0.00       0.00
07h30       0.00       0.00       0.00
08h00       0.00       0.00       0.00
08h30       0.00       0.00       0.00
09h00       0.00       0.00       0.00
09h30       0.00       0.00       0.00
10h00       0.00       0.00       0.00
10h30       0.00       0.00       1.91
11h00       0.00       0.00       6.45
11h30       0.00       0.00      10.08
12h00       0.00       0.00      21.54
12h30       0.00       0.00      44.08
13h00       0.00       0.00      67.53
13h30       0.00       0.00      84.94
14h00       0.00       0.00      95.57
14h30       0.00       0.00      98.92
15h00       0.00       0.00      93.17
15h30       0.00       0.00      74.77
16h00       0.00       0.00      30.45
16h30       0.00       0.00       0.00
17h00       0.00       0.00       0.00
17h30       0.00       0.00       0.00
18h00       0.00       0.00       0.00
18h30       0.00       0.00       0.00
19h00       0.00       0.00       0.00
19h30       0.00       0.00       0.00
20h00       0.00       0.00       0.00
20h30       0.00       0.00       0.00
21h00       0.00       0.00       0.00
21h30       0.00       0.00       0.00
22h00       0.00       0.00       0.00
22h30       0.00       0.00       0.00
23h00       0.00       0.00       0.00
23h30       0.00       0.00       0.00
00h00       0.00       0.00       0.00
00h30       0.00       0.00       0.00
01h00       0.00       0.00       0.00
01h30       0.00       0.00       0.00
02h00       0.00       0.00       0.00
02h30       0.00       0.00       0.00
03h00       0.00       0.00       0.00
03h30       0.00       0.00       0.00
04h00       0.00       0.00       0.00
04h30       0.00       0.00       0.00
05h00       0.00       0.00       0.00
05h30       0.00       0.00       0.00
06h00       0.00       0.00       0.00
06h30       0.00       0.00       0.00
07h00       0.00       0.00       0.00
07h30       0.00       0.00       0.00
08h00       0.00       0.00       0.00
08h30       0.00       0.00       0.00
09h00       0.00       0.00       0.00
09h30       0.00       0.00       0.00
10h00       0.00       0.00       0.00
10h30       0.00       0.00       0.30
11h00       0.00       0.00       0.95
11h30       0.00       0.00       1.58
12h00       0.00       0.00       2.16
12h30       0.00       0.00       2.68
13h00       0.00       0.00       3.14
13h30       0.00       0.00       3.29
14h00       0.00       0.00       3.14
14h30       0.00       0.00       2.83
15h00       0.00       0.00       2.38
15h30       0.00       0.00       1.87
16h00       0.00       0.00       0.79
16h30       0.00       0.00       0.00
17h00       0.00       0.00       0.00
17h30       0.00       0.00       0.00
18h00       0.00       0.00       0.00
18h30       0.00       0.00       0.00
19h00       0.00       0.00       0.00
19h30       0.00       0.00       0.00
20h00       0.00       0.00       0.00
20h30       0.00       0.00       0.00
21h00       0.00       0.00       0.00
21h30       0.00       0.00       0.00
22h00       0.00       0.00       0.00
22h30       0.00       0.00       0.00
23h00       0.00       0.00       0.00
23h30       0.00       0.00       0.00
00h00       0.00       0.00       0.00
00h30       0.00       0.00       0.00
01h00       0.00       0.00       0.00
01h30       0.00       0.00       0.00
02h00       0.00       0.00       0.00
02h30       0.00       0.00       0.00
03h00       0.00       0.00       0.00
03h30       0.00       0.00       0.00
04h00       0.00       0.00       0.00
04h30       0.00       0.00       0.00
05h00       0.00       0.00       0.00
05h30       0.00       0.00       0.00
06h00       0.00       0.00       0.00
06h30       0.00       0.00       0.00
07h00       0.00       0.00       0.00
07h30       0.00       0.00       0.00
08h00       0.00       0.00       0.00
08h30       0.00       0.00       0.00
09h00       0.00       0.00       0.00
09h30       0.00       0.00       0.00
10h00       0.00       0.00       0.00
10h30       0.00       0.00       1.94
11h00       0.00       0.00       5.94
11h30       0.00       0.00       9.31
12h00       0.00       0.00      12.06
12h30       0.00       0.00      14.62
13h00       0.00       0.00      17.12
13h30       0.00       0.00      18.61
14h00       0.00       0.00      19.06
14h30       0.00       0.00      18.57
15h00       0.00       0.00      17.58
15h30       0.00       0.00      15.25
16h00       0.00       0.00       6.55
16h30       0.00       0.00       0.00
17h00       0.00       0.00       0.00
17h30       0.00       0.00       0.00
18h00       0.00       0.00       0.00
18h30       0.00       0.00       0.00
19h00       0.00       0.00       0.00
19h30       0.00       0.00       0.00
20h00       0.00       0.00       0.00
20h30       0.00       0.00       0.00
21h00       0.00       0.00       0.00
21h30       0.00       0.00       0.00
22h00       0.00       0.00       0.00
22h30       0.00       0.00       0.00
23h00       0.00       0.00       0.00
23h30       0.00       0.00       0.00
00h00       0.00       0.00       0.00
00h30       0.00       0.00       0.00
01h00       0.00       0.00       0.00
01h30       0.00       0.00       0.00
02h00       0.00       0.00       0.00
02h30       0.00       0.00       0.00
03h00       0.00       0.00       0.00
03h30       0.00       0.00       0.00
04h00       0.00       0.00       0.00
04h30       0.00       0.00       0.00
05h00       0.00       0.00       0.00
05h30       0.00       0.00       0.00
06h00       0.00       0.00       0.00
06h30       0.00       0.00       0.00
07h00       0.00       0.00       0.00
07h30       0.00       0.00       0.00
08h00       0.00       0.00       0.00
08h30       0.00       0.00       0.00
09h00       0.00       0.00       0.00
09h30       0.00       0.00       0.00
10h00       0.00       0.00       0.00
10h30       0.00       0.00       1.07
11h00       0.00       0.00       3.31
11h30       0.00       0.00       5.10
12h00       0.00       0.00       6.34
12h30       0.00       0.00       7.20
13h00       0.00       0.00       7.70
13h30       0.00       0.00       7.93
14h00       0.00       0.00       7.84
14h30       0.00       0.00       7.50
15h00       0.00       0.00       6.97
15h30       0.00       0.00       6.05
16h00       0.00       0.00       2.70
16h30       0.00       0.00       0.00
17h00       0.00       0.00       0.00
17h30       0.00       0.00       0.00
18h00       0.00       0.00       0.00
18h30       0.00       0.00       0.00
19h00       0.00       0.00       0.00
19h30       0.00       0.00       0.00
20h00       0.00       0.00       0.00
20h30       0.00       0.00       0.00
21h00       0.00       0.00       0.00
21h30       0.00       0.00       0.00
22h00       0.00       0.00       0.00
22h30       0.00       0.00       0.00
23h00       0.00       0.00       0.00
23h30       0.00       0.00       0.00
00h00       0.00       0.00       0.00
00h30       0.00       0.00       0.00
01h00       0.00       0.00       0.00
01h30       0.00       0.00       0.00
02h00       0.00       0.00       0.00
02h30       0.00       0.00       0.00
03h00       0.00       0.00       0.00
03h30       0.00       0.00       0.00
04h00       0.00       0.00       0.00
04h30       0.00       0.00       0.00
05h00       0.00       0.00       0.00
05h30       0.00       0.00       0.00
06h00       0.00       0.00       0.00
06h30       0.00       0.00       0.00
07h00       0.00       0.00       0.00
07h30       0.00       0.00       0.00
08h00       0.00       0.00       0.00
08h30       0.00       0.00       0.00
09h00       0.00       0.00       0.00
09h30       0.00       0.00       0.00
10h00       0.00       0.00       0.00
10h30       0.00       0.00       1.57
11h00       0.00       0.00       4.99
11h30       0.00       0.00       8.21
12h00       0.00       0.00      15.08
12h30       0.00       0.00      27.21
13h00       0.00       0.00      41.05
13h30       0.00       0.00      57.31
14h00       0.00       0.00      76.86
14h30       0.00       0.00      90.51
15h00       0.00       0.00      96.19
15h30       0.00       0.00      77.67
16h00       0.00       0.00      28.32
16h30       0.00       0.00       0.00
17h00       0.00       0.00       0.00
17h30       0.00       0.00       0.00
18h00       0.00       0.00       0.00
18h30       0.00       0.00       0.00
19h00       0.00       0.00       0.00
19h30       0.00       0.00       0.00
20h00       0.00       0.00       0.00
20h30       0.00       0.00       0.00
21h00       0.00       0.00       0.00
21h30       0.00       0.00       0.00
22h00       0.00       0.00       0.00
22h30       0.00       0.00       0.00
23h00       0.00       0.00       0.00
23h30       0.00       0.00       0.00
00h00       0.00       0.00       0.00
00h30       0.00       0.00       0.00
