LABEL,ENERGY,CARBON,COST_FIXED,COST_FLEX,ENERGY_SAVINGS,CARBON_SAVINGS,COST_SAVINGS_FIXED,COST_SAVINGS_FLEX
BASELINE,,,,,,,,
WINDOWS,,,,,,,,
WALLS,,,,,,,,
ROOF,,,,,,,,
FAB,,,,,,,,
HP,,,,,,,,
SOLAR_THERMAL,,,,,,,,
PV,,,,,,,,
BATTERY,,,,,,,,
