label,electricity_exp_1,electricity_tot_1,lpg_tot_1,mineral_wood_tot_1,mains_gas_tot_1,oil_tot_1,wood_logs_tot_1,wood_pellets_tot_1,wood_chips_tot_1,coal_tot_1,electricity_exp_2,electricity_tot_2,lpg_tot_2,mineral_wood_tot_2,mains_gas_tot_2,oil_tot_2,wood_logs_tot_2,wood_pellets_tot_2,wood_chips_tot_2,coal_tot_2,electricity_exp_3,electricity_tot_3,lpg_tot_3,mineral_wood_tot_3,mains_gas_tot_3,oil_tot_3,wood_logs_tot_3,wood_pellets_tot_3,wood_chips_tot_3,coal_tot_3,electricity_exp_4,electricity_tot_4,lpg_tot_4,mineral_wood_tot_4,mains_gas_tot_4,oil_tot_4,wood_logs_tot_4,wood_pellets_tot_4,wood_chips_tot_4,coal_tot_4,electricity_exp_5,electricity_tot_5,lpg_tot_5,mineral_wood_tot_5,mains_gas_tot_5,oil_tot_5,wood_logs_tot_5,wood_pellets_tot_5,wood_chips_tot_5,coal_tot_5,electricity_exp_6,electricity_tot_6,lpg_tot_6,mineral_wood_tot_6,mains_gas_tot_6,oil_tot_6,wood_logs_tot_6,wood_pellets_tot_6,wood_chips_tot_6,coal_tot_6,electricity_exp_7,electricity_tot_7,lpg_tot_7,mineral_wood_tot_7,mains_gas_tot_7,oil_tot_7,wood_logs_tot_7,wood_pellets_tot_7,wood_chips_tot_7,coal_tot_7,electricity_exp_8,electricity_tot_8,lpg_tot_8,mineral_wood_tot_8,mains_gas_tot_8,oil_tot_8,wood_logs_tot_8,wood_pellets_tot_8,wood_chips_tot_8,coal_tot_8,electricity_exp_9,electricity_tot_9,lpg_tot_9,mineral_wood_tot_9,mains_gas_tot_9,oil_tot_9,wood_logs_tot_9,wood_pellets_tot_9,wood_chips_tot_9,coal_tot_9
energy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
carbon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fixed_cost,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
flex_cost,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
